"REF_DATE","GEO","DGUID","Income percentiles","Age group","Tax and transfer type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","50th percentile rate","Percent","239","units","0","v121063801","3.2.1.1.7","0.0","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","50th percentile rate","Percent","239","units","0","v121063801","3.2.1.1.7","0.0","","","","1"
"1992","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"1993","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"1994","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"1995","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"1996","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"1997","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","75th percentile rate","Percent","239","units","0","v121063802","3.2.1.1.8","0.0","","","","1"
"1992","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.6","","","","1"
"1993","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.6","","","","1"
"1994","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.6","","","","1"
"1995","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.6","","","","1"
"1996","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.5","","","","1"
"1997","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.9","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.7","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.5","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.4","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.3","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.2","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.1","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.0","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.0","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","1.9","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","1.8","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","1.7","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","1.7","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","1.7","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","1.8","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","0.0","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","0.0","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","0.0","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","1.5","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","1.5","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","1.6","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","1.6","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","1.6","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","1.9","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","95th percentile rate","Percent","239","units","0","v121063803","3.2.1.1.9","2.1","","","","1"
"1992","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","21000","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","19825","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","21220","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","22765","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","23635","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","22240","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","22420","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","19700","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","18065","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","17060","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","16435","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","15895","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","15470","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","15615","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","15330","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","14030","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","13560","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","13100","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","13010","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","12745","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","14465","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","14610","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","14700","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","14585","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","14295","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","14505","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","14380","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","13715","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","14270","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0","Persons","249","units","0","v121167341","3.2.1.1.11","13325","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","4565","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","3890","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","3875","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","3770","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","3890","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","4960","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","4870","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","5035","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","4895","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","4830","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","4265","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","3705","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","3510","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","3710","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","3910","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","3680","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","3425","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","2250","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","2385","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","2375","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","595","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","","F","","","0"
"2014","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","510","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","735","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","925","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","1280","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","1800","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","1880","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","1970","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 0.1% to 5%","Persons","249","units","0","v121167342","3.2.1.1.12","2215","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 5.1% to 10%","Persons","249","units","0","v121167343","3.2.1.1.13","","F","","","0"
"1993","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 5.1% to 10%","Persons","249","units","0","v121167343","3.2.1.1.13","","F","","","0"
"1994","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 5.1% to 10%","Persons","249","units","0","v121167343","3.2.1.1.13","","x","","","0"
"1995","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 5.1% to 10%","Persons","249","units","0","v121167343","3.2.1.1.13","","x","","","0"
"1996","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 5.1% to 10%","Persons","249","units","0","v121167343","3.2.1.1.13","","x","","","0"
"1997","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 5.1% to 10%","Persons","249","units","0","v121167343","3.2.1.1.13","","F","","","0"
"1998","Newfoundland and Labrador","2016A000210","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Rate of 5.1% to 10%","Persons","249","units","0","v121167343","3.2.1.1.13","","F","","","0"
